"index","target_flag","target_amt","kidsdriv","homekids","parent1","mstatus","sex","education","job","travtime","car_use","bluebook","tif","car_type","red_car","oldclaim","clm_freq","revoked","mvr_pts","urbanicity","car_age","home_val","yoj","income","age"
19,"1",2920,0,0,"N","Y","F","High School","Home Maker",48,"Private",6000,1,"SUV","N",0,0,"N",3,"Urban",5,106859,0,0,45
20,"0",0,0,3,"Y","N","F","Bachelors","Clerical",43,"Private",10590,6,"SUV","N",0,0,"N",0,"Rural",13,180951,12,51884,39
22,"0",0,0,0,"N","Y","M","Masters","Lawyer",42,"Private",14190,6,"Minivan","N",0,0,"N",0,"Urban",16,192207,11,59945,42
23,"0",0,0,3,"N","Y","F","Masters","Lawyer",27,"Private",8300,7,"SUV","N",0,0,"N",0,"Urban",20,91875,13,34019,34
24,"0",0,0,2,"N","Y","F","High School","Clerical",48,"Private",17330,4,"Minivan","N",0,0,"N",0,"Urban",7,93797,12,18903,31
25,"1",6857,0,1,"N","Y","F","High School","Blue Collar",29,"Commercial",8710,6,"SUV","N",8935,2,"N",0,"Urban",1,170598,13,44077,28
26,"1",3627,0,0,"N","Y","M","High School","Blue Collar",52,"Commercial",26560,1,"Panel Truck","Y",0,0,"N",3,"Urban",1,177908,13,37214,43
27,"0",0,0,0,"N","Y","F","Masters","Lawyer",36,"Private",11130,6,"SUV","N",8250,1,"N",5,"Urban",14,282904,14,96274,48
28,"0",0,0,0,"N","N","F","High School","Blue Collar",29,"Private",19700,10,"Minivan","N",0,0,"N",1,"Urban",5,0,11,46281,47
29,"0",0,2,2,"N","Y","F","High School","Home Maker",8,"Private",5900,6,"SUV","N",3338,3,"N",0,"Urban",11,82344,0,0,44
32,"0",0,0,1,"N","Y","F","Bachelors","Professional",27,"Private",16830,9,"SUV","N",0,0,"N",2,"Rural",15,225962,13,79606,33
33,"1",4486,0,1,"N","Y","F","High School","Clerical",26,"Private",10030,1,"SUV","N",0,0,"N",0,"Urban",1,118160,9,31275,32
34,"0",0,1,2,"N","Y","M","Bachelors","Manager",16,"Private",22090,17,"Minivan","N",0,0,"N",0,"Urban",12,219378,17,45488,44
35,"0",0,0,0,"N","N","F","Bachelors","Clerical",26,"Private",12220,6,"SUV","N",0,0,"N",3,"Urban",12,0,8,72193,35
36,"0",0,0,2,"N","Y","F","Masters","Home Maker",15,"Private",14130,6,"SUV","N",38127,2,"Y",4,"Rural",12,98777,0,8014,40
38,"0",0,0,0,"N","Y","M","Bachelors","Clerical",30,"Private",15880,1,"Minivan","N",0,0,"N",1,"Urban",1,163444,5,49244,49
40,"0",0,0,0,"N","Y","F","Bachelors","Professional",37,"Private",1500,4,"SUV","N",0,0,"N",1,"Urban",10,230340,8,51278,52
41,"0",0,0,0,"N","N","M","Masters",NA,12,"Commercial",25810,6,"Panel Truck","N",1431,2,"N",5,"Urban",15,286113,7,92842,41
42,"0",0,0,0,"N","Y","M","Bachelors","Blue Collar",38,"Commercial",16640,4,"Van","Y",0,0,"N",0,"Urban",13,202839,10,35081,39
43,"0",0,0,0,"N","Y","F","PhD","Home Maker",65,"Private",13220,1,"Minivan","N",0,0,"N",0,"Rural",12,63827,0,0,56
44,"0",0,0,0,"N","N","F","PhD","Doctor",18,"Private",17900,1,"Minivan","N",0,0,"N",0,"Urban",14,311980,12,115044,49
45,"0",0,0,0,"N","Y","F","High School","Clerical",47,"Private",12080,1,"SUV","N",0,0,"N",2,"Rural",9,138823,11,37754,38
46,"0",0,0,2,"N","Y","F","Masters",NA,38,"Commercial",29450,6,"Van","N",0,0,"N",0,"Urban",15,418785,17,145353,43
48,"0",0,0,0,"N","Y","F","PhD","Doctor",10,"Private",16270,1,"SUV","N",0,0,"N",0,"Urban",11,343410,15,121398,63
49,"0",0,0,0,"N","N","F","High School","Student",48,"Commercial",9280,1,"SUV","N",0,0,"N",1,"Rural",6,87925,0,0,52
50,"0",0,0,0,"N","Y","M","Bachelors","Student",22,"Commercial",6450,1,"Pickup","N",0,0,"N",0,"Urban",7,0,7,14508,35
51,"0",0,0,0,"N","Y","F","Bachelors","Manager",40,"Private",23080,1,"Sports Car","N",0,0,"N",0,"Urban",8,270555,13,75338,43
52,"0",0,0,0,"N","N","F","High School","Clerical",44,"Private",20120,4,"Minivan","N",0,0,"N",0,"Rural",1,0,10,32774,41
53,"0",0,0,0,"N","Y","M","Bachelors","Clerical",5,"Commercial",29270,4,"Panel Truck","Y",0,0,"N",1,"Urban",5,186418,11,57474,40
54,"0",0,0,1,"N","Y","M","Bachelors","Student",62,"Commercial",4600,6,"Minivan","Y",0,0,"N",2,"Urban",5,154493,12,26520,31
55,"0",0,0,0,"N","Y","F","High School","Student",35,"Commercial",19450,6,"SUV","N",2981,2,"N",5,"Urban",6,0,8,18444,47
56,"0",0,0,0,"N","Y","M","Masters","Professional",36,"Private",29230,10,"Minivan","Y",0,0,"N",0,"Urban",15,343700,12,107259,53
57,"0",0,0,3,"N","Y","F","High School","Clerical",33,"Private",4040,6,"SUV","N",0,0,"N",0,"Rural",5,183383,7,34046,39
58,"0",0,0,3,"N","Y","M","High School","Clerical",40,"Private",12270,18,"Minivan","Y",0,0,"N",3,"Urban",1,152894,14,32364,33
59,"0",0,0,0,"N","N","M","Masters","Lawyer",10,"Private",31930,1,"Minivan","Y",0,0,"N",0,"Urban",13,133008,5,106775,59
61,"1",6100,0,0,"N","N","M","High School","Blue Collar",20,"Commercial",12230,4,"Pickup","Y",26104,1,"Y",13,"Urban",6,0,11,16989,40
65,"1",8841,0,2,"N","Y","F","High School","Home Maker",37,"Private",10520,1,"SUV","N",7838,1,"N",1,"Urban",1,134164,15,16352,44
66,"0",0,0,0,"N","Y","M","Bachelors","Manager",30,"Private",21770,13,"Minivan","Y",0,0,"N",0,"Urban",6,164852,16,44760,56
67,"1",2117,1,1,"N","Y","F","Masters","Lawyer",50,"Private",32340,6,"Van","N",27877,2,"Y",0,"Urban",13,196368,14,63952,45
69,"0",0,0,0,"N","Y","M","Bachelors","Professional",14,"Commercial",28560,13,"Panel Truck","Y",1554,5,"N",1,"Urban",10,252896,12,68328,48
70,"1",3532,1,2,"Y","N","M","Bachelors","Clerical",24,"Private",14220,4,"Minivan","N",0,0,"N",0,"Urban",10,0,13,24060,44
71,"1",866,0,4,"N","Y","F","High School","Home Maker",46,"Private",6880,13,"SUV","N",7896,3,"N",0,"Urban",1,76022,12,20822,33
72,"0",0,0,3,"N","Y","F","High School","Professional",20,"Private",10040,4,"SUV","N",0,0,"Y",0,"Urban",8,146784,14,54968,32
73,"1",7786,0,0,"N","N","F","High School","Clerical",13,"Private",2920,4,"Sports Car","N",24767,3,"Y",2,"Urban",10,87034,8,14194,34
74,"0",0,1,4,"N","Y","F","High School","Home Maker",35,"Private",22690,10,"Pickup","N",0,0,"N",2,"Urban",1,72889,12,2149,38
77,"1",4148,2,3,"Y","N","F","Masters","Manager",29,"Private",19510,1,"Sports Car","N",8890,3,"N",0,"Urban",15,0,11,137103,43
78,"0",0,0,0,"N","N","M","PhD",NA,31,"Commercial",33710,3,"Panel Truck","N",34351,2,"Y",2,"Urban",18,0,9,122777,49
79,"0",0,0,0,"N","N","F","Bachelors","Manager",13,"Private",14050,3,"Minivan","N",0,0,"Y",2,"Urban",11,0,10,79538,46
80,"0",0,0,1,"N","Y","F","PhD","Lawyer",28,"Private",10250,1,"SUV","N",4307,3,"N",6,"Urban",20,509115,11,185836,45
81,"0",0,0,0,"N","N","M","Masters",NA,22,"Commercial",33320,4,"Panel Truck","Y",0,0,"Y",1,"Urban",12,397661,14,150318,46
82,"0",0,0,0,"N","Y","M","Masters",NA,30,"Commercial",10910,13,"Pickup","Y",25106,2,"N",0,"Urban",9,213530,11,61931,45
84,"0",0,0,0,"N","N","F","PhD","Doctor",11,"Private",27600,1,"SUV","N",0,0,"N",0,"Urban",18,0,9,74426,63
85,"0",0,0,0,"N","Y","F","Bachelors","Professional",9,"Private",23640,6,"Minivan","N",0,0,"N",0,"Urban",1,231034,9,74722,44
86,"1",2371,1,2,"Y","N","M","Bachelors","Professional",25,"Private",1500,1,"Minivan","Y",0,0,"N",2,"Urban",11,0,11,102393,45
88,"0",0,0,0,"N","Y","F","High School","Home Maker",50,"Private",8660,3,"Sports Car","N",8363,2,"N",3,"Urban",4,98920,0,0,48
89,"1",4804,1,2,"N","Y","F","Bachelors","Blue Collar",43,"Commercial",5200,1,"SUV","N",2718,1,"N",1,"Urban",3,205211,12,68328,37
90,"0",0,0,0,"N","N","F","High School","Clerical",49,"Private",4860,10,"Sports Car","N",0,0,"N",0,"Urban",1,0,10,29371,35
91,"1",1354,0,0,"N","Y","M","High School","Clerical",14,"Commercial",9640,13,"Pickup","N",1212,1,"N",4,"Urban",1,165090,12,31773,48
93,"0",0,0,0,"N","Y","F","Masters","Professional",42,"Private",6400,10,"SUV","N",9115,1,"N",6,"Urban",14,159389,0,0,49
94,"0",0,0,2,"Y","N","F","High School","Blue Collar",35,"Commercial",22050,10,"Sports Car","N",0,0,"N",0,"Rural",1,316900,15,139330,44
95,"0",0,0,0,"N","N","F","PhD","Lawyer",42,"Private",22830,1,"Minivan","N",0,0,"N",0,"Rural",14,447616,13,163296,50
96,"0",0,0,1,"Y","N","F","High School","Blue Collar",50,"Private",12380,13,"Minivan","N",0,0,"N",0,"Rural",6,140978,10,17455,30
97,"0",0,0,0,"N","Y","M","Bachelors","Manager",61,"Private",14000,6,"Minivan","N",0,0,"N",0,"Urban",11,240833,12,71007,54
99,"1",2425,0,0,"N","Y","F","High School","Blue Collar",32,"Commercial",13140,1,"SUV","N",0,0,"N",4,"Urban",1,153381,6,38036,53
100,"0",0,0,0,"N","N","F","Bachelors","Manager",21,"Private",15360,1,"SUV","N",0,0,"N",0,"Urban",8,150933,13,41199,53
101,"0",0,0,1,"Y","N","M","High School","Professional",15,"Private",15160,6,"Minivan","N",0,0,"N",0,"Urban",1,202967,10,38042,29
102,"0",0,0,0,"N","N","M","Masters","Lawyer",23,"Private",10620,6,"Pickup","N",0,0,"N",0,"Urban",11,0,11,91223,58
103,"0",0,0,0,"N","Y","F","Masters","Lawyer",5,"Private",19380,6,"Minivan","N",0,0,"N",0,"Urban",13,173196,7,45787,55
104,"0",0,0,0,"N","Y","M","Bachelors","Blue Collar",21,"Commercial",5760,1,"Pickup","Y",969,2,"N",6,"Urban",11,227091,12,84964,55
105,"0",0,0,0,"N","Y","F","High School","Clerical",28,"Private",16220,4,"SUV","N",0,0,"N",0,"Rural",6,190675,8,38240,56
108,"0",0,0,0,"N","N","M","Masters","Lawyer",36,"Private",18110,1,"Van","Y",759,2,"N",3,"Urban",15,0,11,51565,34
109,"1",5711,0,3,"N","Y","F","High School","Home Maker",25,"Private",11740,9,"SUV","N",1800,2,"N",2,"Urban",1,66358,0,0,34
110,"0",0,0,0,"N","Y","M","Masters","Professional",24,"Private",13800,7,"Minivan","Y",31695,3,"Y",4,"Urban",17,267509,11,105384,36
111,"1",13105,0,0,"N","Y","M","Masters","Lawyer",59,"Private",12230,4,"Minivan","Y",0,0,"N",1,"Urban",9,159276,10,66265,41
112,"1",4061,0,0,"N","N","M","Masters",NA,17,"Commercial",23350,13,"Panel Truck","Y",4678,3,"N",6,"Urban",17,133008,7,82517,46
114,"0",0,0,0,"N","Y","M","Bachelors","Blue Collar",18,"Commercial",23390,13,"Panel Truck","Y",0,0,"N",0,"Urban",14,217920,9,76226,42
115,"0",0,1,3,"N","Y","M","High School","Clerical",26,"Private",8080,1,"Pickup","Y",0,0,"N",0,"Rural",8,113809,16,7528,38
116,"1",7838,0,4,"Y","N","M","High School","Student",14,"Commercial",15090,1,"Minivan","Y",1631,1,"N",2,"Urban",5,0,0,0,33
117,"1",3660,0,0,"N","Y","F","Bachelors","Student",48,"Commercial",12850,7,"SUV","N",0,0,"N",3,"Urban",6,73890,0,8014,37
118,"0",0,1,1,"N","Y","F","Masters","Lawyer",63,"Private",21690,1,"Minivan","N",0,0,"N",2,"Urban",14,160661,9,32797,42
119,"1",5125,0,0,"N","Y","F","Bachelors","Professional",50,"Private",12840,1,"SUV","N",1533,2,"N",0,"Urban",10,217885,11,44705,47
121,"0",0,0,0,"N","N","F","Bachelors","Blue Collar",36,"Commercial",15120,1,"Minivan","N",0,0,"N",3,"Rural",10,216986,9,68992,52
122,"0",0,0,0,"N","N","M","Masters","Professional",8,"Commercial",30150,16,"Panel Truck","N",12294,1,"N",0,"Urban",1,314433,11,132561,43
124,"0",0,0,1,"N","Y","M","Masters","Professional",23,"Private",11180,7,"SUV","N",0,0,"N",0,"Urban",16,325826,17,96830,66
127,"1",2143,0,0,"N","Y","M","High School","Blue Collar",33,"Commercial",7900,4,"Pickup","Y",8882,3,"N",1,"Urban",5,244863,7,64014,52
130,"0",0,1,1,"N","Y","F","High School","Student",40,"Private",7050,4,"Sports Car","N",0,0,"N",0,"Rural",10,0,7,8014,38
132,"0",0,0,0,"N","Y","M","Bachelors","Manager",48,"Private",21320,1,"Van","Y",0,0,"N",0,"Urban",13,276241,14,88865,47
133,"0",0,0,0,"N","Y","M","Bachelors","Blue Collar",14,"Commercial",17550,1,"Van","N",0,0,"N",0,"Urban",7,383731,12,123520,37
134,"0",0,0,0,"N","Y","M","Bachelors","Clerical",33,"Commercial",29210,6,"Panel Truck","Y",0,0,"N",0,"Urban",11,160051,13,45257,47
136,"0",0,1,2,"N","Y","F","Masters","Manager",35,"Private",20870,1,"Sports Car","N",0,0,"N",0,"Urban",21,169015,17,41857,61
137,"1",2114,0,1,"Y","N","F","Masters","Manager",34,"Commercial",32690,3,"Pickup","N",0,0,"N",2,"Urban",18,0,8,126468,41
138,"0",0,3,3,"N","Y","F","High School","Blue Collar",53,"Commercial",13050,5,"Sports Car","N",0,0,"Y",0,"Rural",6,247673,9,75516,40
139,"0",0,0,0,"N","N","M","Bachelors","Professional",44,"Private",19540,6,"Minivan","Y",0,0,"Y",0,"Urban",11,249290,16,76954,52
140,"0",0,0,1,"N","Y","F","Masters","Manager",21,"Private",24240,6,"Pickup","N",0,0,"N",0,"Urban",17,421665,8,150352,58
142,"1",8671,1,1,"N","Y","F","High School","Clerical",36,"Private",5260,7,"SUV","N",867,2,"N",0,"Urban",1,173495,12,37580,38
143,"1",6287,0,2,"N","Y","M","High School","Blue Collar",10,"Private",7930,1,"Pickup","N",0,0,"N",1,"Urban",1,147172,15,23344,41
144,"0",0,0,0,"N","Y","F","Bachelors","Blue Collar",29,"Private",23640,1,"SUV","N",0,0,"N",0,"Urban",10,158771,16,43290,37
145,"0",0,0,0,"N","Y","M","Bachelors","Manager",24,"Private",11220,9,"Pickup","Y",0,0,"N",1,"Urban",1,220264,10,48737,48
146,"0",0,0,0,"N","Y","M","High School","Clerical",26,"Private",25100,18,"Minivan","N",9526,4,"N",3,"Urban",9,202031,12,64259,47
149,"0",0,0,0,"N","N","M","High School","Clerical",5,"Private",7500,1,"Minivan","Y",0,0,"N",0,"Rural",1,0,6,12541,41
150,"0",0,0,0,"N","Y","M","Masters",NA,40,"Commercial",36120,4,"Panel Truck","Y",0,0,"N",0,"Urban",11,265153,12,104271,47
152,"0",0,0,1,"N","Y","F","Masters","Lawyer",49,"Private",20210,1,"Minivan","N",0,0,"N",0,"Rural",16,220556,12,67278,44
153,"0",0,0,0,"N","N","F","Bachelors","Professional",40,"Private",16080,13,"SUV","N",0,0,"N",0,"Urban",7,306540,10,104990,46
154,"0",0,0,0,"N","N","F","Bachelors","Professional",37,"Private",18160,7,"SUV","N",0,0,"N",4,"Urban",9,0,6,89948,49
155,"0",0,0,1,"N","Y","F","Masters",NA,35,"Commercial",28180,1,"Van","N",0,0,"N",3,"Urban",4,321483,12,111427,33
158,"1",1807,1,2,"Y","N","F","Bachelors","Professional",52,"Private",19750,4,"SUV","N",0,0,"Y",0,"Urban",9,0,11,76159,43
159,"0",0,0,0,"N","N","F","PhD","Lawyer",54,"Private",18470,3,"SUV","N",0,0,"N",0,"Urban",15,0,6,107734,62
160,"1",10594,0,0,"N","N","M","High School","Student",47,"Commercial",5700,11,"Pickup","Y",0,0,"N",5,"Urban",1,57484,0,0,42
161,"0",0,0,2,"Y","N","F","High School","Clerical",38,"Private",11160,1,"SUV","N",0,0,"N",0,"Rural",1,0,12,25282,36
162,"0",0,0,0,"N","Y","M","Masters","Lawyer",24,"Private",12800,7,"Minivan","N",0,0,"N",0,"Urban",14,116136,11,18549,47
163,"0",0,0,0,"N","Y","M","High School","Clerical",11,"Commercial",17300,13,"Van","Y",0,0,"N",0,"Urban",7,147191,14,33809,50
164,"0",0,0,0,"N","N","M","High School","Blue Collar",32,"Commercial",11620,1,"Pickup","N",50701,3,"Y",0,"Urban",1,187297,9,50166,51
165,"0",0,0,0,"N","Y","F","Masters","Lawyer",43,"Private",20240,4,"Sports Car","N",0,0,"N",0,"Rural",16,245878,8,73872,46
166,"0",0,0,0,"N","Y","F","High School","Manager",60,"Private",20010,1,"Minivan","N",4179,2,"N",4,"Urban",8,254600,14,73343,50
167,"1",6158,0,2,"Y","N","F","Masters","Lawyer",35,"Private",13130,1,"SUV","N",3622,3,"N",4,"Urban",20,0,15,49849,43
168,"1",4887,1,1,"N","Y","F","High School","Student",28,"Commercial",15760,4,"Pickup","N",1738,2,"Y",4,"Urban",1,0,16,12054,39
169,"0",0,0,3,"N","Y","F","High School","Blue Collar",50,"Commercial",14530,12,"Sports Car","N",6891,2,"N",5,"Urban",1,209188,14,48184,43
170,"1",5147,0,3,"N","Y","F","Masters","Lawyer",40,"Private",20350,6,"SUV","N",0,0,"N",0,"Urban",15,235670,18,78936,60
171,"0",0,0,0,"N","N","M","High School","Student",33,"Private",7000,4,"Pickup","N",0,0,"N",0,"Rural",1,0,0,0,55
172,"0",0,0,0,"N","N","F","Bachelors","Manager",36,"Private",5500,10,"SUV","N",6803,2,"N",6,"Urban",10,229055,10,78914,40
173,"0",0,0,0,"N","Y","F","Bachelors","Clerical",49,"Private",9570,7,"Sports Car","N",0,0,"N",1,"Urban",13,210840,6,77125,39
175,"0",0,0,0,"N","Y","M","High School","Clerical",29,"Private",8490,6,"Pickup","Y",0,0,"N",1,"Urban",12,109685,14,25835,38
176,"0",0,0,0,"N","Y","M","Masters","Professional",31,"Private",11940,7,"Pickup","Y",974,2,"N",6,"Urban",18,180206,12,47660,42
177,"0",0,0,0,"N","N","F","Masters","Manager",16,"Private",24930,4,"Minivan","N",0,0,"N",3,"Urban",14,306368,10,123143,42
178,"0",0,0,0,"N","Y","F","High School","Clerical",24,"Commercial",21990,11,"Pickup","N",0,0,"N",1,"Urban",1,123924,8,22059,49
179,"0",0,1,1,"Y","N","F","Masters","Manager",26,"Private",10170,7,"SUV","N",5877,3,"N",7,"Urban",14,0,12,50750,36
180,"0",0,0,1,"Y","N","M","High School","Clerical",35,"Commercial",12180,7,"Pickup","Y",0,0,"N",0,"Urban",7,0,10,23571,34
181,"0",0,0,0,"N","Y","F","PhD","Home Maker",29,"Private",18110,7,"SUV","N",0,0,"N",1,"Urban",1,79913,0,0,49
182,"0",0,0,0,"N","Y","M","High School","Clerical",39,"Private",6040,10,"Minivan","Y",0,0,"N",0,"Urban",1,155972,12,35631,52
183,"0",0,0,0,"N","N","M","PhD","Doctor",37,"Private",21200,4,"Van","Y",0,0,"N",0,"Urban",16,0,11,129234,50
184,"0",0,0,0,"N","N","F","High School","Clerical",16,"Private",11650,10,"SUV","N",6175,1,"N",2,"Urban",7,0,12,33809,53
185,"0",0,0,0,"N","Y","M","Bachelors","Blue Collar",45,"Commercial",27890,4,"Panel Truck","N",0,0,"N",0,"Rural",14,162237,14,55409,55
187,"0",0,0,4,"Y","N","F","Bachelors","Clerical",21,"Private",18120,8,"Minivan","N",0,0,"N",0,"Urban",8,186025,15,48067,40
188,"0",0,0,2,"N","Y","F","Masters","Lawyer",21,"Private",12490,1,"SUV","N",0,0,"N",0,"Urban",10,210631,12,64867,45
189,"0",0,0,2,"N","Y","M","Bachelors","Professional",14,"Private",15920,13,"Minivan","Y",0,0,"N",2,"Urban",10,389344,23,97716,80
190,"0",0,0,0,"N","Y","M","High School","Blue Collar",48,"Commercial",8460,10,"Pickup","Y",7437,2,"N",6,"Urban",1,159534,10,39613,48
191,"0",0,0,0,"N","N","M","High School","Student",69,"Private",14130,1,"Minivan","Y",0,0,"N",1,"Rural",5,57484,11,8014,37
192,"0",0,0,0,"N","N","F","High School","Clerical",52,"Private",10500,6,"Sports Car","N",0,0,"N",0,"Rural",1,0,11,49780,40
194,"0",0,0,0,"N","N","F","Bachelors","Manager",31,"Private",24260,4,"Minivan","N",0,0,"N",0,"Urban",18,0,11,60845,45
196,"1",6087,0,0,"N","N","F","PhD","Doctor",45,"Private",13160,1,"Sports Car","N",0,0,"N",0,"Urban",17,0,12,136344,42
197,"0",0,0,0,"N","Y","F","Bachelors","Professional",55,"Private",14960,6,"Minivan","N",7650,3,"N",5,"Urban",4,211506,7,70313,36
198,"0",0,0,3,"Y","N","F","High School","Home Maker",9,"Commercial",34510,7,"Van","N",0,0,"N",0,"Rural",1,0,15,23773,45
199,"0",0,0,0,"N","N","F","Bachelors","Professional",28,"Private",21660,6,"Sports Car","N",0,0,"N",0,"Rural",11,327167,11,115713,52
200,"0",0,0,0,"N","N","M","High School","Clerical",17,"Commercial",31390,1,"Panel Truck","Y",0,0,"N",3,"Rural",1,0,8,55364,41
201,"0",0,0,0,"N","Y","F","High School","Clerical",37,"Private",11300,10,"Sports Car","N",19385,1,"N",4,"Urban",7,130324,14,27693,36
202,"0",0,0,0,"N","Y","F","Bachelors","Home Maker",29,"Private",27890,13,"SUV","N",25147,2,"N",0,"Urban",9,103058,0,0,56
203,"0",0,1,1,"N","Y","F","High School","Student",34,"Private",1500,10,"Sports Car","N",1175,3,"N",2,"Rural",7,0,0,0,53
204,"1",3894,0,0,"N","N","F","High School","Clerical",12,"Private",1500,6,"SUV","N",0,0,"N",0,"Urban",7,169721,12,32936,39
205,"0",0,0,0,"N","Y","F","Bachelors","Professional",31,"Private",11530,13,"SUV","N",0,0,"N",0,"Rural",9,184852,11,33151,38
206,"1",2659,1,3,"Y","N","M","High School","Home Maker",36,"Private",16510,4,"Minivan","N",17445,3,"Y",0,"Urban",1,0,0,0,45
207,"0",0,0,0,"N","Y","F","High School","Home Maker",73,"Private",8560,10,"Sports Car","N",0,0,"N",0,"Rural",9,176282,14,24575,46
208,"0",0,0,2,"N","Y","M","High School","Clerical",49,"Private",5800,10,"Minivan","Y",0,0,"N",1,"Urban",5,200891,16,32546,43
209,"0",0,1,1,"Y","N","F","Bachelors","Home Maker",21,"Private",18820,6,"SUV","N",5537,1,"N",6,"Urban",9,0,0,0,54
210,"0",0,0,0,"N","Y","M","Masters",NA,44,"Commercial",23320,10,"Panel Truck","N",0,0,"N",3,"Urban",19,431809,16,163158,55
211,"0",0,0,0,"N","Y","F","High School","Blue Collar",37,"Private",13420,1,"Sports Car","N",3573,3,"N",3,"Rural",1,226638,10,58212,61
214,"1",6693,0,0,"N","Y","F","Bachelors","Manager",36,"Private",9930,4,"SUV","N",0,0,"N",3,"Urban",5,264549,15,84345,53
215,"0",0,0,0,"N","Y","M","High School","Blue Collar",59,"Commercial",10350,14,"Minivan","Y",1507,1,"N",0,"Urban",3,166773,12,24590,52
216,"0",0,0,0,"N","Y","F","Bachelors","Manager",45,"Commercial",27020,7,"Pickup","N",1780,3,"N",0,"Urban",6,278940,15,107808,54
218,"0",0,0,0,"N","Y","F","Masters","Lawyer",7,"Private",25450,6,"SUV","N",5958,2,"N",5,"Urban",12,257889,15,76443,51
219,"0",0,0,2,"N","Y","M","High School","Blue Collar",42,"Commercial",7470,7,"Pickup","N",0,0,"N",0,"Rural",1,197089,12,59685,39
220,"0",0,0,0,"N","Y","F","Masters","Lawyer",38,"Private",13740,4,"Minivan","N",8450,1,"N",0,"Rural",15,251629,12,90647,38
221,"1",4380,0,0,"N","N","M","High School","Blue Collar",48,"Commercial",10020,13,"Pickup","Y",0,0,"N",0,"Urban",1,208811,10,43174,42
222,"1",1826,0,2,"Y","N","F","High School","Clerical",41,"Private",12930,13,"Sports Car","N",35666,2,"Y",0,"Urban",7,0,14,30653,31
224,"0",0,0,2,"Y","N","F","Masters","Home Maker",18,"Private",32090,6,"Minivan","N",0,0,"N",0,"Rural",17,54130,0,0,41
225,"1",6716,3,4,"N","Y","F","High School","Student",54,"Private",1500,4,"SUV","N",0,0,"N",5,"Urban",10,0,0,8014,36
227,"0",0,0,0,"N","Y","F","High School","Professional",18,"Private",12310,1,"SUV","N",8948,1,"N",0,"Urban",1,162428,13,59148,49
229,"0",0,0,0,"N","N","M","High School","Professional",25,"Private",14390,1,"Minivan","Y",0,0,"N",0,"Urban",1,232928,10,81899,47
231,"0",0,0,3,"N","Y","F","High School","Student",10,"Commercial",6120,10,"SUV","N",0,0,"N",0,"Rural",1,0,13,1158,45
232,"0",0,0,0,"N","Y","F","High School","Manager",25,"Private",22920,10,"Pickup","N",0,0,"N",0,"Urban",8,306745,15,114088,53
233,"0",0,0,0,"N","Y","F","High School","Professional",27,"Private",25700,1,"Van","N",0,0,"N",0,"Urban",1,256152,13,80621,51
234,"0",0,0,1,"N","Y","F","Masters","Lawyer",44,"Private",6900,3,"Sports Car","N",0,0,"N",0,"Urban",1,327651,12,94328,51
235,"1",53571,0,3,"Y","N","M","Masters",NA,37,"Commercial",42550,1,"Panel Truck","Y",35879,1,"Y",0,"Urban",20,253132,11,49703,36
