"target_flag","kidsdriv","homekids","parent1","mstatus","sex","education","travtime","car_use","bluebook","tif","car_type","red_car","oldclaim","clm_freq","revoked","mvr_pts","urbanicity","car_age","yoj","income","age","job"
"0",0,3,"N","Y","F","Masters",27,"Private",8300,7,"SUV","N",0,0,"N",0,"Urban",20,13,34019,34,"white_collar"
"0",0,2,"N","Y","F","High School",48,"Private",17330,4,"Minivan","N",0,0,"N",0,"Urban",7,12,18903,31,"not_white_collar"
"1",0,1,"N","Y","F","High School",29,"Commercial",8710,6,"SUV","N",8935,2,"N",0,"Urban",1,13,44077,28,"not_white_collar"
"1",0,0,"N","Y","M","High School",52,"Commercial",26560,1,"Panel Truck","Y",0,0,"N",3,"Urban",1,13,37214,43,"not_white_collar"
"0",0,0,"N","Y","F","Masters",36,"Private",11130,6,"SUV","N",8250,1,"N",5,"Urban",14,14,96274,48,"white_collar"
"0",0,0,"N","N","F","High School",29,"Private",19700,10,"Minivan","N",0,0,"N",1,"Urban",5,11,46281,47,"not_white_collar"
"0",2,2,"N","Y","F","High School",8,"Private",5900,6,"SUV","N",3338,3,"N",0,"Urban",11,0,0,44,"not_white_collar"
"0",0,1,"N","Y","F","Bachelors",27,"Private",16830,9,"SUV","N",0,0,"N",2,"Rural",15,13,79606,33,"white_collar"
"1",0,1,"N","Y","F","High School",26,"Private",10030,1,"SUV","N",0,0,"N",0,"Urban",1,9,31275,32,"not_white_collar"
"0",1,2,"N","Y","M","Bachelors",16,"Private",22090,17,"Minivan","N",0,0,"N",0,"Urban",12,17,45488,44,"not_white_collar"
"0",0,0,"N","N","F","Bachelors",26,"Private",12220,6,"SUV","N",0,0,"N",3,"Urban",12,8,72193,35,"not_white_collar"
"0",0,2,"N","Y","F","Masters",15,"Private",14130,6,"SUV","N",38127,2,"Y",4,"Rural",12,0,8014,40,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",30,"Private",15880,1,"Minivan","N",0,0,"N",1,"Urban",1,5,49244,49,"not_white_collar"
"0",0,0,"N","Y","F","Bachelors",37,"Private",1500,4,"SUV","N",0,0,"N",1,"Urban",10,8,51278,52,"white_collar"
"0",0,0,"N","N","M","Masters",12,"Commercial",25810,6,"Panel Truck","N",1431,2,"N",5,"Urban",15,7,92842,41,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",38,"Commercial",16640,4,"Van","Y",0,0,"N",0,"Urban",13,10,35081,39,"not_white_collar"
"0",0,0,"N","Y","F","PhD",65,"Private",13220,1,"Minivan","N",0,0,"N",0,"Rural",12,0,0,56,"not_white_collar"
"0",0,0,"N","N","F","PhD",18,"Private",17900,1,"Minivan","N",0,0,"N",0,"Urban",14,12,115044,49,"white_collar"
"0",0,0,"N","Y","F","High School",47,"Private",12080,1,"SUV","N",0,0,"N",2,"Rural",9,11,37754,38,"not_white_collar"
"0",0,2,"N","Y","F","Masters",38,"Commercial",29450,6,"Van","N",0,0,"N",0,"Urban",15,17,145353,43,"not_white_collar"
"0",0,0,"N","Y","F","PhD",10,"Private",16270,1,"SUV","N",0,0,"N",0,"Urban",11,15,121398,63,"white_collar"
"0",0,0,"N","N","F","High School",48,"Commercial",9280,1,"SUV","N",0,0,"N",1,"Rural",6,0,0,52,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",22,"Commercial",6450,1,"Pickup","N",0,0,"N",0,"Urban",7,7,14508,35,"not_white_collar"
"0",0,0,"N","Y","F","Bachelors",40,"Private",23080,1,"Sports Car","N",0,0,"N",0,"Urban",8,13,75338,43,"not_white_collar"
"0",0,0,"N","N","F","High School",44,"Private",20120,4,"Minivan","N",0,0,"N",0,"Rural",1,10,32774,41,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",5,"Commercial",29270,4,"Panel Truck","Y",0,0,"N",1,"Urban",5,11,57474,40,"not_white_collar"
"0",0,1,"N","Y","M","Bachelors",62,"Commercial",4600,6,"Minivan","Y",0,0,"N",2,"Urban",5,12,26520,31,"not_white_collar"
"0",0,0,"N","Y","F","High School",35,"Commercial",19450,6,"SUV","N",2981,2,"N",5,"Urban",6,8,18444,47,"not_white_collar"
"0",0,0,"N","Y","M","Masters",36,"Private",29230,10,"Minivan","Y",0,0,"N",0,"Urban",15,12,107259,53,"white_collar"
"0",0,3,"N","Y","F","High School",33,"Private",4040,6,"SUV","N",0,0,"N",0,"Rural",5,7,34046,39,"not_white_collar"
"0",0,3,"N","Y","M","High School",40,"Private",12270,18,"Minivan","Y",0,0,"N",3,"Urban",1,14,32364,33,"not_white_collar"
"0",0,0,"N","N","M","Masters",10,"Private",31930,1,"Minivan","Y",0,0,"N",0,"Urban",15,5,106775,59,"white_collar"
"1",0,0,"N","N","M","High School",20,"Commercial",12230,4,"Pickup","Y",26104,1,"Y",13,"Urban",6,11,16989,40,"not_white_collar"
"1",0,2,"N","Y","F","High School",37,"Private",10520,1,"SUV","N",7838,1,"N",1,"Urban",1,15,16352,44,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",30,"Private",21770,13,"Minivan","Y",0,0,"N",0,"Urban",6,16,44760,56,"not_white_collar"
"1",1,1,"N","Y","F","Masters",50,"Private",32340,6,"Van","N",27877,2,"Y",0,"Urban",13,14,63952,45,"white_collar"
"0",0,0,"N","Y","M","Bachelors",14,"Commercial",28560,13,"Panel Truck","Y",1554,5,"N",1,"Urban",10,12,68328,48,"white_collar"
"1",1,2,"Y","N","M","Bachelors",24,"Private",14220,4,"Minivan","N",0,0,"N",0,"Urban",10,13,24060,44,"not_white_collar"
"1",0,4,"N","Y","F","High School",46,"Private",6880,13,"SUV","N",7896,3,"N",0,"Urban",1,12,20822,33,"not_white_collar"
"0",0,3,"N","Y","F","High School",20,"Private",10040,4,"SUV","N",0,0,"Y",0,"Urban",8,14,54968,32,"white_collar"
"1",0,0,"N","N","F","High School",13,"Private",2920,4,"Sports Car","N",24767,3,"Y",2,"Urban",10,8,14194,34,"not_white_collar"
"0",1,4,"N","Y","F","High School",35,"Private",22690,10,"Pickup","N",0,0,"N",2,"Urban",1,12,2149,38,"not_white_collar"
"1",2,3,"Y","N","F","Masters",29,"Private",19510,1,"Sports Car","N",8890,3,"N",0,"Urban",15,11,137103,43,"not_white_collar"
"0",0,0,"N","N","M","PhD",31,"Commercial",33710,3,"Panel Truck","N",34351,2,"Y",2,"Urban",18,9,122777,49,"not_white_collar"
"0",0,0,"N","N","F","Bachelors",13,"Private",14050,3,"Minivan","N",0,0,"Y",2,"Urban",11,10,79538,46,"not_white_collar"
"0",0,1,"N","Y","F","PhD",28,"Private",10250,1,"SUV","N",4307,3,"N",6,"Urban",20,11,185836,45,"white_collar"
"0",0,0,"N","N","M","Masters",22,"Commercial",33320,4,"Panel Truck","Y",0,0,"Y",1,"Urban",12,14,150318,46,"not_white_collar"
"0",0,0,"N","Y","M","Masters",30,"Commercial",10910,13,"Pickup","Y",25106,2,"N",0,"Urban",11,11,61931,45,"white_collar"
"0",0,0,"N","N","F","PhD",11,"Private",27600,1,"SUV","N",0,0,"N",0,"Urban",18,9,74426,63,"white_collar"
"0",0,0,"N","Y","F","Bachelors",9,"Private",23640,6,"Minivan","N",0,0,"N",0,"Urban",1,9,74722,44,"white_collar"
"1",1,2,"Y","N","M","Bachelors",25,"Private",1500,1,"Minivan","Y",0,0,"N",2,"Urban",11,11,102393,45,"white_collar"
"0",0,0,"N","Y","F","High School",50,"Private",8660,3,"Sports Car","N",8363,2,"N",3,"Urban",2,0,0,48,"not_white_collar"
"1",1,2,"N","Y","F","Bachelors",43,"Commercial",5200,1,"SUV","N",2718,1,"N",1,"Urban",3,12,68328,37,"not_white_collar"
"0",0,0,"N","N","F","High School",49,"Private",4860,10,"Sports Car","N",0,0,"N",0,"Urban",1,10,29371,35,"not_white_collar"
"1",0,0,"N","Y","M","High School",14,"Commercial",9640,13,"Pickup","N",1212,1,"N",4,"Urban",1,12,31773,48,"not_white_collar"
"0",0,0,"N","Y","F","Masters",42,"Private",6400,10,"SUV","N",9115,1,"N",6,"Urban",14,0,0,49,"white_collar"
"0",0,2,"Y","N","F","High School",35,"Commercial",22050,10,"Sports Car","N",0,0,"N",0,"Rural",1,15,139330,44,"not_white_collar"
"0",0,0,"N","N","F","PhD",42,"Private",22830,1,"Minivan","N",0,0,"N",0,"Rural",14,13,163296,50,"white_collar"
"0",0,1,"Y","N","F","High School",50,"Private",12380,13,"Minivan","N",0,0,"N",0,"Rural",6,10,17455,30,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",61,"Private",14000,6,"Minivan","N",0,0,"N",0,"Urban",11,12,71007,54,"not_white_collar"
"1",0,0,"N","Y","F","High School",32,"Commercial",13140,1,"SUV","N",0,0,"N",4,"Urban",1,6,38036,53,"not_white_collar"
"0",0,0,"N","N","F","Bachelors",21,"Private",15360,1,"SUV","N",0,0,"N",0,"Urban",8,13,41199,53,"not_white_collar"
"0",0,1,"Y","N","M","High School",15,"Private",15160,6,"Minivan","N",0,0,"N",0,"Urban",1,10,38042,29,"white_collar"
"0",0,0,"N","N","M","Masters",23,"Private",10620,6,"Pickup","N",0,0,"N",0,"Urban",11,11,91223,58,"white_collar"
"0",0,0,"N","Y","F","Masters",5,"Private",19380,6,"Minivan","N",0,0,"N",0,"Urban",13,7,45787,55,"white_collar"
"0",0,0,"N","Y","M","Bachelors",21,"Commercial",5760,1,"Pickup","Y",969,2,"N",6,"Urban",11,12,84964,55,"not_white_collar"
"0",0,0,"N","Y","F","High School",28,"Private",16220,4,"SUV","N",0,0,"N",0,"Rural",6,8,38240,56,"not_white_collar"
"0",0,0,"N","N","M","Masters",36,"Private",18110,1,"Van","Y",759,2,"N",3,"Urban",15,11,51565,34,"white_collar"
"1",0,3,"N","Y","F","High School",25,"Private",11740,9,"SUV","N",1800,2,"N",2,"Urban",1,0,0,34,"not_white_collar"
"0",0,0,"N","Y","M","Masters",24,"Private",13800,7,"Minivan","Y",31695,3,"Y",4,"Urban",17,11,105384,36,"white_collar"
"1",0,0,"N","Y","M","Masters",59,"Private",12230,4,"Minivan","Y",0,0,"N",1,"Urban",9,10,66265,41,"white_collar"
"1",0,0,"N","N","M","Masters",17,"Commercial",23350,13,"Panel Truck","Y",4678,3,"N",6,"Urban",17,7,82517,46,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",18,"Commercial",23390,13,"Panel Truck","Y",0,0,"N",0,"Urban",14,9,76226,42,"not_white_collar"
"0",1,3,"N","Y","M","High School",26,"Private",8080,1,"Pickup","Y",0,0,"N",0,"Rural",8,16,7528,38,"not_white_collar"
"1",0,4,"Y","N","M","High School",14,"Commercial",15090,1,"Minivan","Y",1631,1,"N",2,"Urban",5,0,0,33,"not_white_collar"
"1",0,0,"N","Y","F","Bachelors",48,"Commercial",12850,7,"SUV","N",0,0,"N",3,"Urban",6,0,8014,37,"not_white_collar"
"0",1,1,"N","Y","F","Masters",63,"Private",21690,1,"Minivan","N",0,0,"N",2,"Urban",14,9,32797,42,"white_collar"
"1",0,0,"N","Y","F","Bachelors",50,"Private",12840,1,"SUV","N",1533,2,"N",0,"Urban",10,11,44705,47,"white_collar"
"0",0,0,"N","N","F","Bachelors",36,"Commercial",15120,1,"Minivan","N",0,0,"N",3,"Rural",10,9,68992,52,"not_white_collar"
"0",0,0,"N","N","M","Masters",8,"Commercial",30150,16,"Panel Truck","N",12294,1,"N",0,"Urban",1,11,132561,43,"white_collar"
"0",0,1,"N","Y","M","Masters",23,"Private",11180,7,"SUV","N",0,0,"N",0,"Urban",16,17,96830,66,"white_collar"
"1",0,0,"N","Y","M","High School",33,"Commercial",7900,4,"Pickup","Y",8882,3,"N",1,"Urban",5,7,64014,52,"not_white_collar"
"0",1,1,"N","Y","F","High School",40,"Private",7050,4,"Sports Car","N",0,0,"N",0,"Rural",10,7,8014,38,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",48,"Private",21320,1,"Van","Y",0,0,"N",0,"Urban",13,14,88865,47,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",14,"Commercial",17550,1,"Van","N",0,0,"N",0,"Urban",9,12,123520,37,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",33,"Commercial",29210,6,"Panel Truck","Y",0,0,"N",0,"Urban",9,13,45257,47,"not_white_collar"
"0",1,2,"N","Y","F","Masters",35,"Private",20870,1,"Sports Car","N",0,0,"N",0,"Urban",21,17,41857,61,"not_white_collar"
"1",0,1,"Y","N","F","Masters",34,"Commercial",32690,3,"Pickup","N",0,0,"N",2,"Urban",18,8,126468,41,"not_white_collar"
"0",3,3,"N","Y","F","High School",53,"Commercial",13050,5,"Sports Car","N",0,0,"Y",0,"Rural",6,9,75516,40,"not_white_collar"
"0",0,0,"N","N","M","Bachelors",44,"Private",19540,6,"Minivan","Y",0,0,"Y",0,"Urban",11,16,76954,52,"white_collar"
"0",0,1,"N","Y","F","Masters",21,"Private",24240,6,"Pickup","N",0,0,"N",0,"Urban",17,8,150352,58,"not_white_collar"
"1",1,1,"N","Y","F","High School",36,"Private",5260,7,"SUV","N",867,2,"N",0,"Urban",1,12,37580,38,"not_white_collar"
"1",0,2,"N","Y","M","High School",10,"Private",7930,1,"Pickup","N",0,0,"N",1,"Urban",1,15,23344,41,"not_white_collar"
"0",0,0,"N","Y","F","Bachelors",29,"Private",23640,1,"SUV","N",0,0,"N",0,"Urban",10,16,43290,37,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",24,"Private",11220,9,"Pickup","Y",0,0,"N",1,"Urban",1,10,48737,48,"not_white_collar"
"0",0,0,"N","Y","M","High School",26,"Private",25100,18,"Minivan","N",9526,4,"N",3,"Urban",9,12,64259,47,"not_white_collar"
"0",0,0,"N","N","M","High School",5,"Private",7500,1,"Minivan","Y",0,0,"N",0,"Rural",1,6,12541,41,"not_white_collar"
"0",0,0,"N","Y","M","Masters",40,"Commercial",36120,4,"Panel Truck","Y",0,0,"N",0,"Urban",11,12,104271,47,"not_white_collar"
"0",0,1,"N","Y","F","Masters",49,"Private",20210,1,"Minivan","N",0,0,"N",0,"Rural",16,12,67278,44,"white_collar"
"0",0,0,"N","N","F","Bachelors",40,"Private",16080,13,"SUV","N",0,0,"N",0,"Urban",7,10,104990,46,"white_collar"
"0",0,0,"N","N","F","Bachelors",37,"Private",18160,7,"SUV","N",0,0,"N",4,"Urban",9,6,89948,49,"white_collar"
"0",0,1,"N","Y","F","Masters",35,"Commercial",28180,1,"Van","N",0,0,"N",3,"Urban",4,12,111427,33,"not_white_collar"
"1",1,2,"Y","N","F","Bachelors",52,"Private",19750,4,"SUV","N",0,0,"Y",0,"Urban",7,11,76159,43,"white_collar"
"0",0,0,"N","N","F","PhD",54,"Private",18470,3,"SUV","N",0,0,"N",0,"Urban",15,6,107734,62,"white_collar"
"1",0,0,"N","N","M","High School",47,"Commercial",5700,11,"Pickup","Y",0,0,"N",5,"Urban",1,0,0,42,"not_white_collar"
"0",0,2,"Y","N","F","High School",38,"Private",11160,1,"SUV","N",0,0,"N",0,"Rural",1,12,25282,36,"not_white_collar"
"0",0,0,"N","Y","M","Masters",24,"Private",12800,7,"Minivan","N",0,0,"N",0,"Urban",14,11,18549,47,"white_collar"
"0",0,0,"N","Y","M","High School",11,"Commercial",17300,13,"Van","Y",0,0,"N",0,"Urban",7,14,33809,50,"not_white_collar"
"0",0,0,"N","N","M","High School",32,"Commercial",11620,1,"Pickup","N",50701,3,"Y",0,"Urban",1,9,50166,51,"not_white_collar"
"0",0,0,"N","Y","F","Masters",43,"Private",20240,4,"Sports Car","N",0,0,"N",0,"Rural",16,8,73872,46,"white_collar"
"0",0,0,"N","Y","F","High School",60,"Private",20010,1,"Minivan","N",4179,2,"N",4,"Urban",8,14,73343,50,"not_white_collar"
"1",0,2,"Y","N","F","Masters",35,"Private",13130,1,"SUV","N",3622,3,"N",4,"Urban",20,15,49849,43,"white_collar"
"1",1,1,"N","Y","F","High School",28,"Commercial",15760,4,"Pickup","N",1738,2,"Y",4,"Urban",1,16,12054,39,"not_white_collar"
"0",0,3,"N","Y","F","High School",50,"Commercial",14530,12,"Sports Car","N",6891,2,"N",5,"Urban",1,14,48184,43,"not_white_collar"
"1",0,3,"N","Y","F","Masters",40,"Private",20350,6,"SUV","N",0,0,"N",0,"Urban",15,18,78936,60,"white_collar"
"0",0,0,"N","N","M","High School",33,"Private",7000,4,"Pickup","N",0,0,"N",0,"Rural",1,0,0,55,"not_white_collar"
"0",0,0,"N","N","F","Bachelors",36,"Private",5500,10,"SUV","N",6803,2,"N",6,"Urban",10,10,78914,40,"not_white_collar"
"0",0,0,"N","Y","F","Bachelors",49,"Private",9570,7,"Sports Car","N",0,0,"N",1,"Urban",13,6,77125,39,"not_white_collar"
"0",0,0,"N","Y","M","High School",29,"Private",8490,6,"Pickup","Y",0,0,"N",1,"Urban",12,14,25835,38,"not_white_collar"
"0",0,0,"N","Y","M","Masters",31,"Private",11940,7,"Pickup","Y",974,2,"N",6,"Urban",18,12,47660,42,"white_collar"
"0",0,0,"N","N","F","Masters",16,"Private",24930,4,"Minivan","N",0,0,"N",3,"Urban",14,10,123143,42,"not_white_collar"
"0",0,0,"N","Y","F","High School",24,"Commercial",21990,11,"Pickup","N",0,0,"N",1,"Urban",1,8,22059,49,"not_white_collar"
"0",1,1,"Y","N","F","Masters",26,"Private",10170,7,"SUV","N",5877,3,"N",7,"Urban",14,12,50750,36,"not_white_collar"
"0",0,1,"Y","N","M","High School",35,"Commercial",12180,7,"Pickup","Y",0,0,"N",0,"Urban",7,10,23571,34,"not_white_collar"
"0",0,0,"N","Y","F","PhD",29,"Private",18110,7,"SUV","N",0,0,"N",1,"Urban",1,0,0,49,"not_white_collar"
"0",0,0,"N","Y","M","High School",39,"Private",6040,10,"Minivan","Y",0,0,"N",0,"Urban",1,12,35631,52,"not_white_collar"
"0",0,0,"N","N","M","PhD",37,"Private",21200,4,"Van","Y",0,0,"N",0,"Urban",17,11,129234,50,"white_collar"
"0",0,0,"N","N","F","High School",16,"Private",11650,10,"SUV","N",6175,1,"N",2,"Urban",7,12,33809,53,"not_white_collar"
"0",0,0,"N","Y","M","Bachelors",45,"Commercial",27890,4,"Panel Truck","N",0,0,"N",0,"Rural",14,14,55409,55,"not_white_collar"
"0",0,4,"Y","N","F","Bachelors",21,"Private",18120,8,"Minivan","N",0,0,"N",0,"Urban",8,15,48067,40,"not_white_collar"
"0",0,2,"N","Y","F","Masters",21,"Private",12490,1,"SUV","N",0,0,"N",0,"Urban",10,12,64867,45,"white_collar"
"0",0,2,"N","Y","M","Bachelors",14,"Private",15920,13,"Minivan","Y",0,0,"N",2,"Urban",10,23,97716,80,"white_collar"
"0",0,0,"N","Y","M","High School",48,"Commercial",8460,10,"Pickup","Y",7437,2,"N",6,"Urban",1,10,39613,48,"not_white_collar"
"0",0,0,"N","N","M","High School",69,"Private",14130,1,"Minivan","Y",0,0,"N",1,"Rural",5,11,8014,37,"not_white_collar"
"0",0,0,"N","N","F","High School",52,"Private",10500,6,"Sports Car","N",0,0,"N",0,"Rural",1,11,49780,40,"not_white_collar"
"0",0,0,"N","N","F","Bachelors",31,"Private",24260,4,"Minivan","N",0,0,"N",0,"Urban",18,11,60845,45,"not_white_collar"
"1",0,0,"N","N","F","PhD",45,"Private",13160,1,"Sports Car","N",0,0,"N",0,"Urban",17,12,136344,42,"white_collar"
"0",0,0,"N","Y","F","Bachelors",55,"Private",14960,6,"Minivan","N",7650,3,"N",5,"Urban",4,7,70313,36,"white_collar"
"0",0,3,"Y","N","F","High School",9,"Commercial",34510,7,"Van","N",0,0,"N",0,"Rural",1,15,23773,45,"not_white_collar"
"0",0,0,"N","N","F","Bachelors",28,"Private",21660,6,"Sports Car","N",0,0,"N",0,"Rural",11,11,115713,52,"white_collar"
"0",0,0,"N","N","M","High School",17,"Commercial",31390,1,"Panel Truck","Y",0,0,"N",3,"Rural",1,8,55364,41,"not_white_collar"
"0",0,0,"N","Y","F","High School",37,"Private",11300,10,"Sports Car","N",19385,1,"N",4,"Urban",7,14,27693,36,"not_white_collar"
"0",0,0,"N","Y","F","Bachelors",29,"Private",27890,13,"SUV","N",25147,2,"N",0,"Urban",9,0,0,56,"not_white_collar"
"0",1,1,"N","Y","F","High School",34,"Private",1500,10,"Sports Car","N",1175,3,"N",2,"Rural",7,0,0,53,"not_white_collar"
"1",0,0,"N","N","F","High School",12,"Private",1500,6,"SUV","N",0,0,"N",0,"Urban",7,12,32936,39,"not_white_collar"
"0",0,0,"N","Y","F","Bachelors",31,"Private",11530,13,"SUV","N",0,0,"N",0,"Rural",9,11,33151,38,"white_collar"
"1",1,3,"Y","N","M","High School",36,"Private",16510,4,"Minivan","N",17445,3,"Y",0,"Urban",1,0,0,45,"not_white_collar"
"0",0,0,"N","Y","F","High School",73,"Private",8560,10,"Sports Car","N",0,0,"N",0,"Rural",9,14,24575,46,"not_white_collar"
"0",0,2,"N","Y","M","High School",49,"Private",5800,10,"Minivan","Y",0,0,"N",1,"Urban",5,16,32546,43,"not_white_collar"
"0",1,1,"Y","N","F","Bachelors",21,"Private",18820,6,"SUV","N",5537,1,"N",6,"Urban",9,0,0,54,"not_white_collar"
"0",0,0,"N","Y","M","Masters",44,"Commercial",23320,10,"Panel Truck","N",0,0,"N",3,"Urban",19,16,163158,55,"not_white_collar"
"0",0,0,"N","Y","F","High School",37,"Private",13420,1,"Sports Car","N",3573,3,"N",3,"Rural",1,10,58212,61,"not_white_collar"
"1",0,0,"N","Y","F","Bachelors",36,"Private",9930,4,"SUV","N",0,0,"N",3,"Urban",5,15,84345,53,"not_white_collar"
"0",0,0,"N","Y","M","High School",59,"Commercial",10350,14,"Minivan","Y",1507,1,"N",0,"Urban",3,12,24590,52,"not_white_collar"
"0",0,0,"N","Y","F","Bachelors",45,"Commercial",27020,7,"Pickup","N",1780,3,"N",0,"Urban",6,15,107808,54,"not_white_collar"
"0",0,0,"N","Y","F","Masters",7,"Private",25450,6,"SUV","N",5958,2,"N",5,"Urban",13,15,76443,51,"white_collar"
"0",0,2,"N","Y","M","High School",42,"Commercial",7470,7,"Pickup","N",0,0,"N",0,"Rural",1,12,59685,39,"not_white_collar"
"0",0,0,"N","Y","F","Masters",38,"Private",13740,4,"Minivan","N",8450,1,"N",0,"Rural",15,12,90647,38,"white_collar"
"1",0,0,"N","N","M","High School",48,"Commercial",10020,13,"Pickup","Y",0,0,"N",0,"Urban",1,10,43174,42,"not_white_collar"
"1",0,2,"Y","N","F","High School",41,"Private",12930,13,"Sports Car","N",35666,2,"Y",0,"Urban",7,14,30653,31,"not_white_collar"
"0",0,2,"Y","N","F","Masters",18,"Private",32090,6,"Minivan","N",0,0,"N",0,"Rural",17,0,0,41,"not_white_collar"
"1",3,4,"N","Y","F","High School",54,"Private",1500,4,"SUV","N",0,0,"N",5,"Urban",10,0,8014,36,"not_white_collar"
"0",0,0,"N","Y","F","High School",18,"Private",12310,1,"SUV","N",8948,1,"N",0,"Urban",1,13,59148,49,"white_collar"
"0",0,0,"N","N","M","High School",25,"Private",14390,1,"Minivan","Y",0,0,"N",0,"Urban",1,10,81899,47,"white_collar"
"0",0,3,"N","Y","F","High School",10,"Commercial",6120,10,"SUV","N",0,0,"N",0,"Rural",1,13,1158,45,"not_white_collar"
"0",0,0,"N","Y","F","High School",25,"Private",22920,10,"Pickup","N",0,0,"N",0,"Urban",8,15,114088,53,"not_white_collar"
"0",0,0,"N","Y","F","High School",27,"Private",25700,1,"Van","N",0,0,"N",0,"Urban",1,13,80621,51,"white_collar"
"0",0,1,"N","Y","F","Masters",44,"Private",6900,3,"Sports Car","N",0,0,"N",0,"Urban",1,12,94328,51,"white_collar"
"1",0,3,"Y","N","M","Masters",37,"Commercial",42550,1,"Panel Truck","Y",35879,1,"Y",0,"Urban",20,11,49703,36,"white_collar"
"0",0,0,"N","N","F","Bachelors",55,"Private",8160,1,"SUV","N",6836,3,"N",0,"Urban",6,12,40564,43,"not_white_collar"
"0",0,0,"N","Y","F","High School",32,"Commercial",13160,13,"Minivan","N",8569,3,"Y",3,"Urban",1,11,47217,43,"not_white_collar"
"1",0,0,"N","Y","F","High School",31,"Private",13850,1,"SUV","N",0,0,"N",0,"Urban",7,13,25289,53,"not_white_collar"
"0",0,0,"N","N","M","Masters",34,"Commercial",24220,4,"Panel Truck","N",0,0,"N",3,"Urban",14,7,95405,40,"not_white_collar"
"1",0,3,"N","Y","F","High School",58,"Private",14030,3,"SUV","N",0,0,"N",0,"Rural",5,14,26112,31,"not_white_collar"
"1",0,0,"N","N","F","PhD",40,"Private",14870,1,"SUV","N",0,0,"N",2,"Urban",14,12,131560,58,"white_collar"
"0",0,0,"N","N","F","Masters",40,"Private",23260,17,"Van","N",0,0,"N",0,"Urban",18,14,90566,50,"white_collar"
"0",0,2,"Y","N","M","High School",39,"Commercial",12240,7,"Minivan","Y",0,0,"N",0,"Urban",1,12,62447,45,"not_white_collar"
"0",0,0,"N","Y","F","Masters",39,"Private",12070,3,"SUV","N",0,0,"N",0,"Urban",17,5,108701,46,"not_white_collar"
"0",0,0,"N","N","M","High School",43,"Commercial",21070,1,"Van","N",3460,1,"N",1,"Urban",13,12,94774,47,"not_white_collar"
