"target_flag","kidsdriv","homekids","parent1","mstatus","sex","education","travtime","car_use","tif","red_car","clm_freq","revoked","mvr_pts","urbanicity","home_val","yoj","income","age","job"
"0","N",0,"N","Y","F","High School",47,"Private",1,"N",0,"N",2,"Rural",138823,11,37754,38,"Professional"
"0","N",2,"N","Y","F","Masters",38,"Commercial",6,"N",0,"N",0,"Urban",418785,17,145353,43,"Professional"
"0","N",0,"N","Y","F","PhD",10,"Private",1,"N",0,"N",0,"Urban",343410,15,121398,63,"Professional"
"0","N",0,"N","N","F","High School",48,"Commercial",1,"N",0,"N",1,"Rural",87925,0,0,52,"Professional"
"0","N",0,"N","Y","M","Bachelors",22,"Commercial",1,"N",0,"N",0,"Urban",0,7,14508,35,"Professional"
"0","N",0,"N","Y","F","Bachelors",40,"Private",1,"N",0,"N",0,"Urban",270555,13,75338,43,"Professional"
"0","N",0,"N","N","F","High School",44,"Private",4,"N",0,"N",0,"Rural",0,10,32774,41,"Professional"
"0","N",0,"N","Y","M","Bachelors",5,"Commercial",4,"Y",0,"N",1,"Urban",186418,11,57474,40,"Professional"
"0","N",1,"N","Y","M","Bachelors",62,"Commercial",6,"Y",0,"N",2,"Urban",154493,12,26520,31,"Professional"
"0","N",0,"N","Y","F","High School",35,"Commercial",6,"N",2,"N",5,"Urban",0,8,18444,47,"Professional"
"0","N",0,"N","Y","M","Masters",36,"Private",10,"Y",0,"N",0,"Urban",343700,12,107259,53,"Professional"
"0","N",3,"N","Y","F","High School",33,"Private",6,"N",0,"N",0,"Rural",183383,7,34046,39,"Professional"
"0","N",3,"N","Y","M","High School",40,"Private",18,"Y",0,"N",3,"Urban",152894,14,32364,33,"Professional"
"0","N",0,"N","N","M","Masters",10,"Private",1,"Y",0,"N",0,"Urban",133008,5,106775,59,"Professional"
"1","N",0,"N","N","M","High School",20,"Commercial",4,"Y",1,"Y",13,"Urban",0,11,16989,40,"Blue Collar"
"1","N",2,"N","Y","F","High School",37,"Private",1,"N",1,"N",1,"Urban",134164,15,16352,44,"Professional"
"0","N",0,"N","Y","M","Bachelors",30,"Private",13,"Y",0,"N",0,"Urban",164852,16,44760,56,"Professional"
"1","Y",1,"N","Y","F","Masters",50,"Private",6,"N",2,"Y",0,"Urban",196368,14,63952,45,"Professional"
"0","N",0,"N","Y","M","Bachelors",14,"Commercial",13,"Y",5,"N",1,"Urban",252896,12,68328,48,"Professional"
"1","Y",2,"Y","N","M","Bachelors",24,"Private",4,"N",0,"N",0,"Urban",0,13,24060,44,"Professional"
"1","N",4,"N","Y","F","High School",46,"Private",13,"N",3,"N",0,"Urban",76022,12,20822,33,"Professional"
"0","N",3,"N","Y","F","High School",20,"Private",4,"N",0,"Y",0,"Urban",146784,14,54968,32,"Professional"
"1","N",0,"N","N","F","High School",13,"Private",4,"N",3,"Y",2,"Urban",87034,8,14194,34,"Professional"
"0","Y",4,"N","Y","F","High School",35,"Private",10,"N",0,"N",2,"Urban",72889,12,2149,38,"Professional"
"1","Y",3,"Y","N","F","Masters",29,"Private",1,"N",3,"N",0,"Urban",0,11,137103,43,"Professional"
"0","N",0,"N","N","M","PhD",31,"Commercial",3,"N",2,"Y",2,"Urban",0,9,122777,49,"Professional"
"0","N",0,"N","N","F","Bachelors",13,"Private",3,"N",0,"Y",2,"Urban",0,10,79538,46,"Professional"
"0","N",1,"N","Y","F","PhD",28,"Private",1,"N",3,"N",6,"Urban",509115,11,185836,45,"Professional"
"0","N",0,"N","N","M","Masters",22,"Commercial",4,"Y",0,"Y",1,"Urban",397661,14,150318,46,"Professional"
"0","N",0,"N","Y","M","Masters",30,"Commercial",13,"Y",2,"N",0,"Urban",213530,11,61931,45,"Blue Collar"
"0","N",0,"N","N","F","PhD",11,"Private",1,"N",0,"N",0,"Urban",0,9,74426,63,"Professional"
"0","N",0,"N","Y","F","Bachelors",9,"Private",6,"N",0,"N",0,"Urban",231034,9,74722,44,"Professional"
"1","Y",2,"Y","N","M","Bachelors",25,"Private",1,"Y",0,"N",2,"Urban",0,11,102393,45,"Professional"
"0","N",0,"N","Y","F","High School",50,"Private",3,"N",2,"N",3,"Urban",98920,0,0,48,"Professional"
"1","Y",2,"N","Y","F","Bachelors",43,"Commercial",1,"N",1,"N",1,"Urban",205211,12,68328,37,"Blue Collar"
"0","N",0,"N","N","F","High School",49,"Private",10,"N",0,"N",0,"Urban",0,10,29371,35,"Professional"
"1","N",0,"N","Y","M","High School",14,"Commercial",13,"N",1,"N",4,"Urban",165090,12,31773,48,"Professional"
"0","N",0,"N","Y","F","Masters",42,"Private",10,"N",1,"N",6,"Urban",159389,0,0,49,"Professional"
"0","N",2,"Y","N","F","High School",35,"Commercial",10,"N",0,"N",0,"Rural",316900,15,139330,44,"Blue Collar"
"0","N",0,"N","N","F","PhD",42,"Private",1,"N",0,"N",0,"Rural",447616,13,163296,50,"Professional"
"0","N",1,"Y","N","F","High School",50,"Private",13,"N",0,"N",0,"Rural",140978,10,17455,30,"Blue Collar"
"0","N",0,"N","Y","M","Bachelors",61,"Private",6,"N",0,"N",0,"Urban",240833,12,71007,54,"Professional"
"1","N",0,"N","Y","F","High School",32,"Commercial",1,"N",0,"N",4,"Urban",153381,6,38036,53,"Blue Collar"
"0","N",0,"N","N","F","Bachelors",21,"Private",1,"N",0,"N",0,"Urban",150933,13,41199,53,"Professional"
"0","N",1,"Y","N","M","High School",15,"Private",6,"N",0,"N",0,"Urban",202967,10,38042,29,"Professional"
"0","N",0,"N","N","M","Masters",23,"Private",6,"N",0,"N",0,"Urban",0,11,91223,58,"Professional"
"0","N",0,"N","Y","F","Masters",5,"Private",6,"N",0,"N",0,"Urban",173196,7,45787,55,"Professional"
"0","N",0,"N","Y","M","Bachelors",21,"Commercial",1,"Y",2,"N",6,"Urban",227091,12,84964,55,"Blue Collar"
"0","N",0,"N","Y","F","High School",28,"Private",4,"N",0,"N",0,"Rural",190675,8,38240,56,"Professional"
"0","N",0,"N","N","M","Masters",36,"Private",1,"Y",2,"N",3,"Urban",0,11,51565,34,"Professional"
"1","N",3,"N","Y","F","High School",25,"Private",9,"N",2,"N",2,"Urban",66358,0,0,34,"Professional"
"0","N",0,"N","Y","M","Masters",24,"Private",7,"Y",3,"Y",4,"Urban",267509,11,105384,36,"Professional"
"1","N",0,"N","Y","M","Masters",59,"Private",4,"Y",0,"N",1,"Urban",159276,10,66265,41,"Professional"
"1","N",0,"N","N","M","Masters",17,"Commercial",13,"Y",3,"N",6,"Urban",133008,7,82517,46,"Professional"
"0","N",0,"N","Y","M","Bachelors",18,"Commercial",13,"Y",0,"N",0,"Urban",217920,9,76226,42,"Blue Collar"
"0","Y",3,"N","Y","M","High School",26,"Private",1,"Y",0,"N",0,"Rural",113809,16,7528,38,"Professional"
"1","N",4,"Y","N","M","High School",14,"Commercial",1,"Y",1,"N",2,"Urban",0,0,0,33,"Professional"
"1","N",0,"N","Y","F","Bachelors",48,"Commercial",7,"N",0,"N",3,"Urban",73890,0,8014,37,"Professional"
"0","Y",1,"N","Y","F","Masters",63,"Private",1,"N",0,"N",2,"Urban",160661,9,32797,42,"Professional"
"1","N",0,"N","Y","F","Bachelors",50,"Private",1,"N",2,"N",0,"Urban",217885,11,44705,47,"Professional"
"0","N",0,"N","N","F","Bachelors",36,"Commercial",1,"N",0,"N",3,"Rural",216986,9,68992,52,"Blue Collar"
"0","N",0,"N","N","M","Masters",8,"Commercial",16,"N",1,"N",0,"Urban",314433,11,132561,43,"Professional"
"0","N",1,"N","Y","M","Masters",23,"Private",7,"N",0,"N",0,"Urban",325826,17,96830,66,"Professional"
"1","N",0,"N","Y","M","High School",33,"Commercial",4,"Y",3,"N",1,"Urban",244863,7,64014,52,"Blue Collar"
"0","Y",1,"N","Y","F","High School",40,"Private",4,"N",0,"N",0,"Rural",0,7,8014,38,"Professional"
"0","N",0,"N","Y","M","Bachelors",48,"Private",1,"Y",0,"N",0,"Urban",276241,14,88865,47,"Professional"
"0","N",0,"N","Y","M","Bachelors",14,"Commercial",1,"N",0,"N",0,"Urban",383731,12,123520,37,"Blue Collar"
"0","N",0,"N","Y","M","Bachelors",33,"Commercial",6,"Y",0,"N",0,"Urban",160051,13,45257,47,"Professional"
"0","Y",2,"N","Y","F","Masters",35,"Private",1,"N",0,"N",0,"Urban",169015,17,41857,61,"Professional"
"1","N",1,"Y","N","F","Masters",34,"Commercial",3,"N",0,"N",2,"Urban",0,8,126468,41,"Professional"
"0","Y",3,"N","Y","F","High School",53,"Commercial",5,"N",0,"Y",0,"Rural",247673,9,75516,40,"Blue Collar"
"0","N",0,"N","N","M","Bachelors",44,"Private",6,"Y",0,"Y",0,"Urban",249290,16,76954,52,"Professional"
"0","N",1,"N","Y","F","Masters",21,"Private",6,"N",0,"N",0,"Urban",421665,8,150352,58,"Professional"
"1","Y",1,"N","Y","F","High School",36,"Private",7,"N",2,"N",0,"Urban",173495,12,37580,38,"Professional"
"1","N",2,"N","Y","M","High School",10,"Private",1,"N",0,"N",1,"Urban",147172,15,23344,41,"Blue Collar"
"0","N",0,"N","Y","F","Bachelors",29,"Private",1,"N",0,"N",0,"Urban",158771,16,43290,37,"Blue Collar"
"0","N",0,"N","Y","M","Bachelors",24,"Private",9,"Y",0,"N",1,"Urban",220264,10,48737,48,"Professional"
"0","N",0,"N","Y","M","High School",26,"Private",18,"N",4,"N",3,"Urban",202031,12,64259,47,"Professional"
"0","N",0,"N","N","M","High School",5,"Private",1,"Y",0,"N",0,"Rural",0,6,12541,41,"Professional"
"0","N",0,"N","Y","M","Masters",40,"Commercial",4,"Y",0,"N",0,"Urban",265153,12,104271,47,"Professional"
"0","N",1,"N","Y","F","Masters",49,"Private",1,"N",0,"N",0,"Rural",220556,12,67278,44,"Professional"
"0","N",0,"N","N","F","Bachelors",40,"Private",13,"N",0,"N",0,"Urban",306540,10,104990,46,"Professional"
"0","N",0,"N","N","F","Bachelors",37,"Private",7,"N",0,"N",4,"Urban",0,6,89948,49,"Professional"
"0","N",1,"N","Y","F","Masters",35,"Commercial",1,"N",0,"N",3,"Urban",321483,12,111427,33,"Professional"
"1","Y",2,"Y","N","F","Bachelors",52,"Private",4,"N",0,"Y",0,"Urban",0,11,76159,43,"Professional"
"0","N",0,"N","N","F","PhD",54,"Private",3,"N",0,"N",0,"Urban",0,6,107734,62,"Professional"
"1","N",0,"N","N","M","High School",47,"Commercial",11,"Y",0,"N",5,"Urban",57484,0,0,42,"Professional"
"0","N",2,"Y","N","F","High School",38,"Private",1,"N",0,"N",0,"Rural",0,12,25282,36,"Professional"
"0","N",0,"N","Y","M","Masters",24,"Private",7,"N",0,"N",0,"Urban",116136,11,18549,47,"Professional"
"0","N",0,"N","Y","M","High School",11,"Commercial",13,"Y",0,"N",0,"Urban",147191,14,33809,50,"Professional"
"0","N",0,"N","N","M","High School",32,"Commercial",1,"N",3,"Y",0,"Urban",187297,9,50166,51,"Blue Collar"
"0","N",0,"N","Y","F","Masters",43,"Private",4,"N",0,"N",0,"Rural",245878,8,73872,46,"Professional"
"0","N",0,"N","Y","F","High School",60,"Private",1,"N",2,"N",4,"Urban",254600,14,73343,50,"Professional"
"1","N",2,"Y","N","F","Masters",35,"Private",1,"N",3,"N",4,"Urban",0,15,49849,43,"Professional"
"1","Y",1,"N","Y","F","High School",28,"Commercial",4,"N",2,"Y",4,"Urban",0,16,12054,39,"Professional"
"0","N",3,"N","Y","F","High School",50,"Commercial",12,"N",2,"N",5,"Urban",209188,14,48184,43,"Blue Collar"
"1","N",3,"N","Y","F","Masters",40,"Private",6,"N",0,"N",0,"Urban",235670,18,78936,60,"Professional"
"0","N",0,"N","N","M","High School",33,"Private",4,"N",0,"N",0,"Rural",0,0,0,55,"Professional"
"0","N",0,"N","N","F","Bachelors",36,"Private",10,"N",2,"N",6,"Urban",229055,10,78914,40,"Professional"
"0","N",0,"N","Y","F","Bachelors",49,"Private",7,"N",0,"N",1,"Urban",210840,6,77125,39,"Professional"
"0","N",0,"N","Y","M","High School",29,"Private",6,"Y",0,"N",1,"Urban",109685,14,25835,38,"Professional"
"0","N",0,"N","Y","M","Masters",31,"Private",7,"Y",2,"N",6,"Urban",180206,12,47660,42,"Professional"
"0","N",0,"N","N","F","Masters",16,"Private",4,"N",0,"N",3,"Urban",306368,10,123143,42,"Professional"
"0","N",0,"N","Y","F","High School",24,"Commercial",11,"N",0,"N",1,"Urban",123924,8,22059,49,"Professional"
"0","Y",1,"Y","N","F","Masters",26,"Private",7,"N",3,"N",7,"Urban",0,12,50750,36,"Professional"
"0","N",1,"Y","N","M","High School",35,"Commercial",7,"Y",0,"N",0,"Urban",0,10,23571,34,"Professional"
"0","N",0,"N","Y","F","PhD",29,"Private",7,"N",0,"N",1,"Urban",79913,0,0,49,"Professional"
"0","N",0,"N","Y","M","High School",39,"Private",10,"Y",0,"N",0,"Urban",155972,12,35631,52,"Professional"
"0","N",0,"N","N","M","PhD",37,"Private",4,"Y",0,"N",0,"Urban",0,11,129234,50,"Professional"
"0","N",0,"N","N","F","High School",16,"Private",10,"N",1,"N",2,"Urban",0,12,33809,53,"Professional"
"0","N",0,"N","Y","M","Bachelors",45,"Commercial",4,"N",0,"N",0,"Rural",162237,14,55409,55,"Blue Collar"
"0","N",4,"Y","N","F","Bachelors",21,"Private",8,"N",0,"N",0,"Urban",186025,15,48067,40,"Professional"
"0","N",2,"N","Y","F","Masters",21,"Private",1,"N",0,"N",0,"Urban",210631,12,64867,45,"Professional"
"0","N",2,"N","Y","M","Bachelors",14,"Private",13,"Y",0,"N",2,"Urban",389344,23,97716,80,"Professional"
"0","N",0,"N","Y","M","High School",48,"Commercial",10,"Y",2,"N",6,"Urban",159534,10,39613,48,"Blue Collar"
"0","N",0,"N","N","M","High School",69,"Private",1,"Y",0,"N",1,"Rural",57484,11,8014,37,"Professional"
"0","N",0,"N","N","F","High School",52,"Private",6,"N",0,"N",0,"Rural",0,11,49780,40,"Professional"
"0","N",0,"N","N","F","Bachelors",31,"Private",4,"N",0,"N",0,"Urban",0,11,60845,45,"Professional"
"1","N",0,"N","N","F","PhD",45,"Private",1,"N",0,"N",0,"Urban",0,12,136344,42,"Professional"
"0","N",0,"N","Y","F","Bachelors",55,"Private",6,"N",3,"N",5,"Urban",211506,7,70313,36,"Professional"
"0","N",3,"Y","N","F","High School",9,"Commercial",7,"N",0,"N",0,"Rural",0,15,23773,45,"Professional"
"0","N",0,"N","N","F","Bachelors",28,"Private",6,"N",0,"N",0,"Rural",327167,11,115713,52,"Professional"
"0","N",0,"N","N","M","High School",17,"Commercial",1,"Y",0,"N",3,"Rural",0,8,55364,41,"Professional"
"0","N",0,"N","Y","F","High School",37,"Private",10,"N",1,"N",4,"Urban",130324,14,27693,36,"Professional"
"0","N",0,"N","Y","F","Bachelors",29,"Private",13,"N",2,"N",0,"Urban",103058,0,0,56,"Professional"
"0","Y",1,"N","Y","F","High School",34,"Private",10,"N",3,"N",2,"Rural",0,0,0,53,"Professional"
"1","N",0,"N","N","F","High School",12,"Private",6,"N",0,"N",0,"Urban",169721,12,32936,39,"Professional"
"0","N",0,"N","Y","F","Bachelors",31,"Private",13,"N",0,"N",0,"Rural",184852,11,33151,38,"Professional"
"1","Y",3,"Y","N","M","High School",36,"Private",4,"N",3,"Y",0,"Urban",0,0,0,45,"Professional"
"0","N",0,"N","Y","F","High School",73,"Private",10,"N",0,"N",0,"Rural",176282,14,24575,46,"Professional"
"0","N",2,"N","Y","M","High School",49,"Private",10,"Y",0,"N",1,"Urban",200891,16,32546,43,"Professional"
"0","Y",1,"Y","N","F","Bachelors",21,"Private",6,"N",1,"N",6,"Urban",0,0,0,54,"Professional"
"0","N",0,"N","Y","M","Masters",44,"Commercial",10,"N",0,"N",3,"Urban",431809,16,163158,55,"Professional"
"0","N",0,"N","Y","F","High School",37,"Private",1,"N",3,"N",3,"Rural",226638,10,58212,61,"Blue Collar"
"1","N",0,"N","Y","F","Bachelors",36,"Private",4,"N",0,"N",3,"Urban",264549,15,84345,53,"Professional"
"0","N",0,"N","Y","M","High School",59,"Commercial",14,"Y",1,"N",0,"Urban",166773,12,24590,52,"Blue Collar"
"0","N",0,"N","Y","F","Bachelors",45,"Commercial",7,"N",3,"N",0,"Urban",278940,15,107808,54,"Professional"
"0","N",0,"N","Y","F","Masters",7,"Private",6,"N",2,"N",5,"Urban",257889,15,76443,51,"Professional"
"0","N",2,"N","Y","M","High School",42,"Commercial",7,"N",0,"N",0,"Rural",197089,12,59685,39,"Blue Collar"
"0","N",0,"N","Y","F","Masters",38,"Private",4,"N",1,"N",0,"Rural",251629,12,90647,38,"Professional"
"1","N",0,"N","N","M","High School",48,"Commercial",13,"Y",0,"N",0,"Urban",208811,10,43174,42,"Blue Collar"
"1","N",2,"Y","N","F","High School",41,"Private",13,"N",2,"Y",0,"Urban",0,14,30653,31,"Professional"
"0","N",2,"Y","N","F","Masters",18,"Private",6,"N",0,"N",0,"Rural",54130,0,0,41,"Professional"
"1","Y",4,"N","Y","F","High School",54,"Private",4,"N",0,"N",5,"Urban",0,0,8014,36,"Professional"
"0","N",0,"N","Y","F","High School",18,"Private",1,"N",1,"N",0,"Urban",162428,13,59148,49,"Professional"
"0","N",0,"N","N","M","High School",25,"Private",1,"Y",0,"N",0,"Urban",232928,10,81899,47,"Professional"
"0","N",3,"N","Y","F","High School",10,"Commercial",10,"N",0,"N",0,"Rural",0,13,1158,45,"Professional"
"0","N",0,"N","Y","F","High School",25,"Private",10,"N",0,"N",0,"Urban",306745,15,114088,53,"Professional"
"0","N",0,"N","Y","F","High School",27,"Private",1,"N",0,"N",0,"Urban",256152,13,80621,51,"Professional"
"0","N",1,"N","Y","F","Masters",44,"Private",3,"N",0,"N",0,"Urban",327651,12,94328,51,"Professional"
"1","N",3,"Y","N","M","Masters",37,"Commercial",1,"Y",1,"Y",0,"Urban",253132,11,49703,36,"Professional"
"0","N",0,"N","N","F","Bachelors",55,"Private",1,"N",3,"N",0,"Urban",179229,12,40564,43,"Professional"
"0","N",0,"N","Y","F","High School",32,"Commercial",13,"N",3,"Y",3,"Urban",209570,11,47217,43,"Blue Collar"
"1","N",0,"N","Y","F","High School",31,"Private",1,"N",0,"N",0,"Urban",108139,13,25289,53,"Professional"
"0","N",0,"N","N","M","Masters",34,"Commercial",4,"N",0,"N",3,"Urban",0,7,95405,40,"Professional"
"1","N",3,"N","Y","F","High School",58,"Private",3,"N",0,"N",0,"Rural",117229,14,26112,31,"Professional"
"1","N",0,"N","N","F","PhD",40,"Private",1,"N",0,"N",2,"Urban",133008,12,131560,58,"Professional"
"0","N",0,"N","N","F","Masters",40,"Private",17,"N",0,"N",0,"Urban",295771,14,90566,50,"Professional"
"0","N",2,"Y","N","M","High School",39,"Commercial",7,"Y",0,"N",0,"Urban",203472,12,62447,45,"Blue Collar"
"0","N",0,"N","Y","F","Masters",39,"Private",3,"N",0,"N",0,"Urban",337340,5,108701,46,"Professional"
"0","N",0,"N","N","M","High School",43,"Commercial",1,"N",1,"N",1,"Urban",254197,12,94774,47,"Professional"
"0","Y",2,"N","Y","M","Bachelors",40,"Commercial",1,"Y",0,"N",0,"Urban",288115,16,72357,43,"Blue Collar"
"0","N",0,"N","N","F","PhD",47,"Commercial",10,"N",0,"N",2,"Urban",336063,11,140112,48,"Blue Collar"
"0","N",0,"N","N","M","High School",22,"Commercial",13,"Y",0,"N",0,"Rural",173712,11,19016,39,"Professional"
"0","N",0,"N","N","F","High School",55,"Private",7,"N",0,"N",1,"Rural",0,0,0,49,"Professional"
"0","N",0,"N","Y","F","High School",14,"Private",1,"N",0,"N",0,"Urban",130331,12,19909,45,"Professional"
"0","N",0,"N","Y","F","Masters",35,"Private",6,"N",1,"N",5,"Urban",99107,12,4885,36,"Professional"
"1","Y",1,"Y","N","F","Masters",26,"Commercial",13,"N",0,"N",0,"Urban",0,12,119382,59,"Professional"
"0","N",0,"N","Y","M","Masters",5,"Commercial",4,"Y",3,"N",0,"Urban",224350,13,89511,60,"Professional"
"0","N",0,"N","Y","F","Bachelors",12,"Private",3,"N",0,"N",0,"Urban",332673,15,107375,49,"Professional"
"0","N",2,"N","Y","F","High School",32,"Private",6,"N",0,"N",0,"Urban",165094,13,36947,45,"Professional"
"0","N",2,"Y","N","M","High School",38,"Commercial",4,"Y",0,"N",6,"Rural",0,13,27581,34,"Blue Collar"
"1","N",0,"N","Y","M","High School",5,"Private",4,"Y",0,"N",0,"Urban",0,14,8212,57,"Professional"
"0","N",1,"Y","N","M","Bachelors",81,"Private",17,"N",0,"N",1,"Rural",241285,11,86187,33,"Professional"
"0","N",0,"N","N","M","High School",61,"Commercial",3,"N",0,"N",1,"Urban",0,12,42255,52,"Blue Collar"
"0","N",0,"N","Y","F","High School",19,"Private",4,"N",2,"N",0,"Urban",177908,13,37646,53,"Professional"
"0","N",0,"N","Y","F","Bachelors",41,"Commercial",1,"N",0,"N",2,"Urban",261901,8,88865,57,"Blue Collar"
"0","N",0,"N","N","F","Bachelors",40,"Private",17,"N",0,"N",3,"Urban",0,11,116043,37,"Professional"
"0","N",2,"N","Y","M","Bachelors",30,"Private",10,"Y",0,"N",0,"Urban",239934,13,89479,45,"Professional"
"0","N",0,"N","N","M","Bachelors",57,"Private",1,"Y",3,"N",0,"Rural",0,8,92917,38,"Professional"
"0","N",3,"Y","N","F","High School",32,"Private",6,"N",2,"N",0,"Urban",0,7,29741,36,"Professional"
"0","N",0,"N","Y","M","High School",5,"Commercial",10,"N",0,"N",0,"Rural",120377,12,3673,51,"Professional"
"1","Y",2,"Y","N","M","Masters",6,"Commercial",6,"Y",3,"Y",0,"Urban",0,15,61370,39,"Professional"
"0","N",0,"N","N","F","High School",46,"Private",6,"N",0,"Y",2,"Rural",195096,13,32159,51,"Blue Collar"
"0","Y",3,"Y","N","F","High School",5,"Private",6,"N",0,"N",0,"Urban",138444,14,20126,40,"Blue Collar"
"1","N",0,"N","N","F","High School",83,"Private",3,"N",0,"N",0,"Urban",148676,11,44782,54,"Professional"
"0","N",4,"Y","N","F","Bachelors",56,"Commercial",10,"N",0,"N",0,"Urban",0,14,59828,34,"Blue Collar"
"0","Y",2,"N","Y","F","Masters",51,"Private",10,"N",1,"N",0,"Urban",247884,14,74022,41,"Professional"
"0","N",0,"N","Y","M","Bachelors",9,"Commercial",4,"Y",4,"N",1,"Urban",235169,11,80256,36,"Blue Collar"
"0","N",0,"N","Y","M","High School",28,"Commercial",4,"Y",1,"N",1,"Urban",0,14,6094,55,"Professional"
"0","Y",2,"N","Y","F","Masters",27,"Private",1,"N",1,"N",1,"Urban",69743,0,0,45,"Professional"
"1","Y",2,"N","Y","M","High School",44,"Commercial",4,"N",0,"Y",3,"Urban",128194,12,30085,45,"Professional"
"0","N",0,"N","N","F","Masters",17,"Private",4,"N",2,"N",7,"Urban",0,11,80241,50,"Professional"
"0","N",0,"N","Y","F","Bachelors",43,"Commercial",14,"N",0,"N",0,"Urban",245678,12,55673,55,"Blue Collar"
"1","N",0,"N","N","M","High School",68,"Private",7,"Y",1,"N",8,"Urban",0,8,32317,44,"Professional"
"0","N",0,"N","N","M","Masters",13,"Private",6,"Y",3,"N",0,"Urban",0,9,58762,50,"Professional"
"0","N",0,"N","Y","M","PhD",34,"Private",4,"Y",3,"Y",0,"Urban",270631,15,76899,60,"Professional"
"0","N",0,"N","N","M","High School",19,"Commercial",1,"N",0,"N",0,"Rural",0,12,48640,40,"Blue Collar"
